ticker,date,open,high,low,close,month,year,day_of_week,Daily_Change
BTC,2010-07-17,0.04951,0.04951,0.04951,0.04951,7,2010,5,0.12044407205697993
BTC,2010-07-18,0.04951,0.08585,0.04951,0.08584,7,2010,6,73.37911533023632
BTC,2010-07-19,0.08584,0.09307,0.07723,0.0808,7,2010,0,-5.8713886300093225
BTC,2010-07-20,0.0808,0.08181,0.07426,0.07474,7,2010,1,-7.499999999999996
BTC,2010-07-21,0.07474,0.07921,0.06634,0.07921,7,2010,2,5.980733208455979
BTC,2010-07-22,0.07921,0.08181,0.0505,0.0505,7,2010,3,-36.245423557631604
BTC,2010-07-23,0.0505,0.06767,0.0505,0.06262,7,2010,4,23.99999999999998
BTC,2010-07-24,0.06262,0.06262,0.05049,0.05454,7,2010,5,-12.903225806451612
BTC,2010-07-25,0.05454,0.05941,0.0505,0.0505,7,2010,6,-7.407407407407396
BTC,2010-07-26,0.0505,0.056,0.05,0.056,7,2010,0,10.89108910891088
BTC,2010-07-27,0.056,0.0605,0.053,0.06,7,2010,1,7.14285714285714
BTC,2010-07-28,0.06,0.062,0.054,0.0589,7,2010,2,-1.8333333333333313
BTC,2010-07-29,0.0589,0.0699,0.0571,0.0699,7,2010,3,18.67572156196944
BTC,2010-07-30,0.0699,0.0699,0.0582,0.0627,7,2010,4,-10.300429184549353
BTC,2010-07-31,0.0627,0.06889,0.056,0.06785,7,2010,5,8.213716108452939
BTC,2010-08-01,0.06785,0.06785,0.06,0.0611,8,2010,6,-9.948415622697116
BTC,2010-08-02,0.0611,0.0633,0.06,0.06,8,2010,0,-1.8003273322422353
BTC,2010-08-03,0.06,0.065,0.059,0.06,8,2010,1,0.0
BTC,2010-08-04,0.06,0.06231,0.057,0.057,8,2010,2,-4.999999999999993
BTC,2010-08-05,0.057,0.061,0.057,0.061,8,2010,3,7.017543859649122
BTC,2010-08-06,0.061,0.0624,0.0607,0.0623,8,2010,4,2.1311475409836023
BTC,2010-08-07,0.0623,0.0623,0.059,0.059,8,2010,5,-5.296950240770471
BTC,2010-08-08,0.059,0.061,0.059,0.0609,8,2010,6,3.220338983050852
BTC,2010-08-09,0.0609,0.0735,0.0593,0.071,8,2010,0,16.58456486042692
BTC,2010-08-10,0.071,0.071,0.06651,0.07,8,2010,1,-1.4084507042253391
BTC,2010-08-11,0.07,0.07541,0.06,0.067,8,2010,2,-4.285714285714293
BTC,2010-08-12,0.067,0.07,0.06141,0.07,8,2010,3,4.47761194029852
BTC,2010-08-13,0.07,0.07,0.0645,0.0645,8,2010,4,-7.857142857142863
BTC,2010-08-14,0.0645,0.0695,0.0645,0.067,8,2010,5,3.875968992248069
BTC,2010-08-15,0.067,0.067,0.065,0.06529,8,2010,6,-2.552238805970153
BTC,2010-08-16,0.06529,0.0679,0.062,0.0655,8,2010,0,0.3216419053453823
BTC,2010-08-17,0.0655,0.0769,0.06243,0.07,8,2010,1,6.870229007633588
BTC,2010-08-18,0.07,0.0733,0.067,0.068,8,2010,2,-2.857142857142858
BTC,2010-08-19,0.068,0.068,0.0667,0.0667,8,2010,3,-1.9117647058823684
BTC,2010-08-20,0.0667,0.0667,0.065,0.0655,8,2010,4,-1.799100449775104
BTC,2010-08-21,0.0655,0.0669,0.0644,0.0664,8,2010,5,1.3740458015267132
BTC,2010-08-22,0.0664,0.0664,0.0612,0.066,8,2010,6,-0.6024096385542133
BTC,2010-08-23,0.066,0.06689,0.063,0.06491,8,2010,0,-1.6515151515151594
BTC,2010-08-24,0.06491,0.0665,0.06491,0.065,8,2010,1,0.1386535202588357
BTC,2010-08-25,0.065,0.0665,0.0641,0.0648,8,2010,2,-0.3076923076923199
BTC,2010-08-26,0.0648,0.0658,0.064,0.064,8,2010,3,-1.2345679012345623
BTC,2010-08-27,0.064,0.065,0.063,0.065,8,2010,4,1.5625
BTC,2010-08-28,0.065,0.065,0.0641,0.0641,8,2010,5,-1.3846153846153841
BTC,2010-08-29,0.0641,0.0648,0.064,0.064,8,2010,6,-0.15600624024961762
BTC,2010-08-30,0.064,0.069,0.03211,0.06497,8,2010,0,1.5156249999999982
BTC,2010-08-31,0.06497,0.06497,0.06,0.06,8,2010,1,-7.649684469755281
